status,local_path,original,timestamp,mimetype,bytes,sha256,archive_url,error
cached,10-menu-lebaran-yang-sederhana-cara-pembuatanya-namun-terkesan-mewah/nasi-kebuli-lebaran/index.html,https://bikinlaper.com/10-menu-lebaran-yang-sederhana-cara-pembuatanya-namun-terkesan-mewah/nasi-kebuli-lebaran/,20250421151549,text/html,88577,e08b5a41e428dc68d4c23cc2ae32c1fd01b096a8f396b39f2463548f2dde72c2,https://web.archive.org/web/20250421151549id_/https://bikinlaper.com/10-menu-lebaran-yang-sederhana-cara-pembuatanya-namun-terkesan-mewah/nasi-kebuli-lebaran/,
cached,10-rekomendasi-makanan-penyubur-reproduksi-wanita/index.html,https://bikinlaper.com/10-rekomendasi-makanan-penyubur-reproduksi-wanita/,20251009132141,text/html,151813,c70fb581acc399ca75482ccf5e7231305b6763f479ba794f0ecc85651e88d79c,https://web.archive.org/web/20251009132141id_/https://bikinlaper.com/10-rekomendasi-makanan-penyubur-reproduksi-wanita/,
cached,10-usaha-franchise-es-teh-yang-ada-di-indonesia-dan-asalnya/franchise-es-teh/index.html,https://bikinlaper.com/10-usaha-franchise-es-teh-yang-ada-di-indonesia-dan-asalnya/franchise-es-teh/,20250421144819,text/html,88115,d3b8067968461c52ca34449984bc7fc1d5bd5d7101bb0cac983d5a9539f57a95,https://web.archive.org/web/20250421144819id_/https://bikinlaper.com/10-usaha-franchise-es-teh-yang-ada-di-indonesia-dan-asalnya/franchise-es-teh/,
cached,10-usaha-franchise-es-teh-yang-ada-di-indonesia-dan-asalnya/index.html,https://bikinlaper.com/10-usaha-franchise-es-teh-yang-ada-di-indonesia-dan-asalnya/,20251007053348,text/html,149220,cc9cc12875f66f87ca1a6a7f86f27e481874f50a4e5934f6445a2a1e86d6a417,https://web.archive.org/web/20251007053348id_/https://bikinlaper.com/10-usaha-franchise-es-teh-yang-ada-di-indonesia-dan-asalnya/,
cached,12-zodiak-dan-makanan-yang-paling-disukai/index.html,https://bikinlaper.com/12-zodiak-dan-makanan-yang-paling-disukai/,20251007062625,text/html,150312,88a2616d1a649b8e69543f6cd2aa5a7f32bd83f1d3b689360d32e74625915722,https://web.archive.org/web/20251007062625id_/https://bikinlaper.com/12-zodiak-dan-makanan-yang-paling-disukai/,
cached,7-makanan-khas-imlek-yang-wajib-anda-dicicipi/index.html,https://bikinlaper.com/7-makanan-khas-imlek-yang-wajib-anda-dicicipi/,20250916223101,text/html,153552,90baecf98ae2e07a43c5b1cc4221e04a7345eda13c794f350dd20c7b92b67fd1,https://web.archive.org/web/20250916223101id_/https://bikinlaper.com/7-makanan-khas-imlek-yang-wajib-anda-dicicipi/,
cached,9-makanan-eropa-yang-dapat-di-buat-di-rumah-dengan-peralatan-sederhana/index.html,https://bikinlaper.com/9-makanan-eropa-yang-dapat-di-buat-di-rumah-dengan-peralatan-sederhana/,20250718231924,text/html,162910,8d59cc30570293b24acadeefc716283d03239ffb05f7c576fe39e37ba9272f41,https://web.archive.org/web/20250718231924id_/https://bikinlaper.com/9-makanan-eropa-yang-dapat-di-buat-di-rumah-dengan-peralatan-sederhana/,
cached,9-makanan-eropa-yang-dapat-di-buat-di-rumah-dengan-peralatan-sederhana/pexels-ekrulila-20243886/index.html,https://bikinlaper.com/9-makanan-eropa-yang-dapat-di-buat-di-rumah-dengan-peralatan-sederhana/pexels-ekrulila-20243886/,20250513031542,text/html,88968,634f0cb82db469c84233b5373b5686e292487c25894f519b6df694c53f6c2bea,https://web.archive.org/web/20250513031542id_/https://bikinlaper.com/9-makanan-eropa-yang-dapat-di-buat-di-rumah-dengan-peralatan-sederhana/pexels-ekrulila-20243886/,
cached,_queries/home__q_0a5f020c97.html,https://bikinlaper.com/?cat=124,20240305014946,text/html,1379,4de3dcf174576b17d3cb644e8eee25226cfd7d3f5e2d80e1c641ea5d6666e158,https://web.archive.org/web/20240305014946id_/https://bikinlaper.com/?cat=124,
cached,_queries/home__q_307793b545.html,"https://bikinlaper.com/?cat=103,104,105,106,107,108&post_type=post",20231211145738,text/html,115955,b4b84949516491cc423be8e2060c7a08ec4f9d03df23bfeb3ee922530516f7ce,"https://web.archive.org/web/20231211145738id_/https://bikinlaper.com/?cat=103,104,105,106,107,108&post_type=post",
